,Name,Year,Duration,IMDB,MetaScore
435,The Fall,(2006),117 min,7.8,64        
436,North by Northwest,(1959),136 min,8.3,98        
437,Straight Outta Compton,(2015),147 min,7.8,72        
438,The Longest Day,(1962),178 min,7.8,75        
439,Mad Max 2,(1981),96 min,7.6,77        
440,Mississippi Burning,(1988),128 min,7.8,65        
441,JFK,(1991),189 min,8.0,72        
442,Before Midnight,(2013),109 min,7.9,94        
443,Hachi: A Dog's Tale,(2009),93 min,8.1,-
444,Philadelphia,(1993),125 min,7.7,66        
445,Clerks,(1994),92 min,7.7,70        
446,The Secret in Their Eyes,(2009),129 min,8.2,80        
447,The Killing Fields,(1984),141 min,7.8,76        
448,Dogville,(2003),178 min,8.0,60        
449,Awakenings,(1990),121 min,7.8,74        
450,Adaptation.,(2002),115 min,7.7,83        
451,Breakfast at Tiffany's,(1961),115 min,7.6,76        
452,Boyhood,(I) (2014),165 min,7.9,100        
453,Brazil,(1985),132 min,7.9,84        
454,The King's Speech,(2010),118 min,8.0,88        
455,Perfect Blue,(1997),81 min,8.0,-
456,Being John Malkovich,(1999),113 min,7.7,90        
457,The Insider,(1999),157 min,7.8,84        
458,Eastern Promises,(2007),100 min,7.6,82        
459,For a Few Dollars More,(1965),132 min,8.2,74        
460,My Neighbor Totoro,(1988),86 min,8.2,86        
461,Seven Pounds,(2008),123 min,7.6,36        
462,"Paris, Texas",(1984),145 min,8.1,78        
463,The Boy in the Striped Pajamas,(2008),94 min,7.8,55        
464,The Fighter,(I) (2010),116 min,7.8,79        
465,When Harry Met Sally...,(1989),95 min,7.6,76        
466,Kung Fu Hustle,(2004),99 min,7.7,78        
467,The Naked Gun: From the Files of Police Squad!,(1988),85 min,7.6,76        
468,Battle Royale,(2000),114 min,7.6,81        
469,The Dirty Dozen,(1967),150 min,7.7,73        
470,3:10 to Yuma,(2007),122 min,7.7,76        
471,The Sting,(1973),129 min,8.3,83        
472,Chungking Express,(1994),102 min,8.1,78        
473,The Ten Commandments,(1956),220 min,7.9,-
474,End of Watch,(2012),109 min,7.6,68        
475,Toy Story 2,(1999),92 min,7.9,88        
476,The Seventh Seal,(1957),96 min,8.2,88        
477,The Girl with the Dragon Tattoo,(2009),152 min,7.8,76        
478,Dirty Harry,(1971),102 min,7.7,90        
479,The Holy Mountain,(1973),114 min,7.9,76        
480,Some Like It Hot,(1959),121 min,8.2,98        
481,The Lego Movie,(2014),100 min,7.7,83        
482,Sunset Blvd.,(1950),110 min,8.4,-
483,Blood Simple,(1984),99 min,7.6,83        
484,Carlito's Way,(1993),144 min,7.9,65        
485,This Is Spinal Tap,(1984),82 min,7.9,92        
486,The Raid: Redemption,(2011),101 min,7.6,73        
487,The Color Purple,(1985),154 min,7.8,78        
488,Before Sunset,(2004),80 min,8.1,90        
489,Young Frankenstein,(1974),106 min,8.0,80        
490,Fried Green Tomatoes,(1991),130 min,7.7,64        
491,The Elephant Man,(1980),124 min,8.1,78        
492,Searching,(III) (2018),102 min,7.6,71        
493,The Last Picture Show,(1971),118 min,8.0,93        
494,To Kill a Mockingbird,(1962),129 min,8.3,88        
495,The Great Escape,(1963),172 min,8.2,86        
496,Paddington 2,(2017),103 min,7.8,88        
497,Out of the Past,(1947),97 min,8.0,-
498,Once,(I) (2007),86 min,7.8,88        
499,Neon Genesis Evangelion: The End of Evangelion,(1997),87 min,8.1,-
500,This Is England,(2006),101 min,7.7,86        
501,Wild Tales,(2014),122 min,8.1,77        
502,Ran,(1985),162 min,8.2,96        
503,Die Hard with a Vengeance,(1995),128 min,7.6,58        
504,Rushmore,(1998),93 min,7.7,86        
505,"Crouching Tiger, Hidden Dragon",(2000),120 min,7.8,94        
506,The Conversation,(1974),113 min,7.8,85        
507,Monty Python's Life of Brian,(1979),94 min,8.1,77        
508,Ben-Hur,(1959),212 min,8.1,90        
509,The Man from Earth,(2007),87 min,7.9,-
510,La Haine,(1995),98 min,8.1,-
511,Spartacus,(1960),197 min,7.9,87        
512,Strangers on a Train,(1951),101 min,8.0,88        
513,Lucky Number Slevin,(2006),110 min,7.7,53        
514,Lost Highway,(1997),134 min,7.6,52        
515,50/50,(2011),100 min,7.6,72        
516,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        
517,The African Queen,(1951),105 min,7.8,91        
518,Naked,(1993),132 min,7.8,84        
519,Glengarry Glen Ross,(1992),100 min,7.7,82        
520,Singin' in the Rain,(1952),103 min,8.3,99        
521,All About Eve,(1950),138 min,8.2,98        
522,Tumbbad,(2018),104 min,8.3,-
523,A Man for All Seasons,(1966),120 min,7.7,72        
524,Metropolis,(1927),153 min,8.3,98        
525,The Jungle Book,(1967),78 min,7.6,65        
526,The French Connection,(1971),104 min,7.7,94        
527,Raatchasan,(2018),170 min,8.5,-
528,The Double Life of Véronique,(1991),98 min,7.8,86        
529,Wait Until Dark,(1967),108 min,7.8,81        
530,Midnight Cowboy,(1969),113 min,7.8,79        
531,The Last King of Scotland,(2006),123 min,7.7,74        
532,The King of Comedy,(1982),109 min,7.8,73        
533,The Wild Bunch,(1969),135 min,7.9,97        
534,Enemy at the Gates,(2001),131 min,7.6,53        
535,Soorarai Pottru,(2020),153 min,9.1,-
536,The Iron Giant,(1999),86 min,8.0,85        
537,Guess Who's Coming to Dinner,(1967),108 min,7.8,63        
538,Bonnie and Clyde,(1967),111 min,7.8,86        
539,A Separation,(2011),123 min,8.3,95        
